AOR Filepath,Target Coordinates
/data1/phot_cal/spitzer/ngc2420/r16272384,114.504783333 21.6014061111
/data1/phot_cal/spitzer/ngc2420/r16272384,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r16272384,114.5132 21.4989166667
/data1/phot_cal/spitzer/ngc2420/r16272384,114.533729167 21.6188563889
/data1/phot_cal/spitzer/ngc2420/r16272384,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r16272384,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r16272384,114.5714 21.6510925
/data1/phot_cal/spitzer/ngc2420/r16272384,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r16272384,114.602116667 21.5800188889
/data1/phot_cal/spitzer/ngc2420/r16272384,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r16272384,114.619325 21.5743922222
/data1/phot_cal/spitzer/ngc2420/r16272384,114.6647625 21.6542530556
/data1/phot_cal/spitzer/ngc2420/r16272384,114.67145 21.4744338889
/data1/phot_cal/spitzer/ngc2420/r16272384,114.708729167 21.4732169444
/data1/phot_cal/spitzer/ngc2420/r16272384,114.712020833 21.6176813889
/data1/phot_cal/spitzer/ngc2420/r38111232,114.504783333 21.6014061111
/data1/phot_cal/spitzer/ngc2420/r38111232,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r38111232,114.5132 21.4989166667
/data1/phot_cal/spitzer/ngc2420/r38111232,114.533729167 21.6188563889
/data1/phot_cal/spitzer/ngc2420/r38111232,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r38111232,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r38111232,114.5714 21.6510925
/data1/phot_cal/spitzer/ngc2420/r38111232,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r38111232,114.602116667 21.5800188889
/data1/phot_cal/spitzer/ngc2420/r38111232,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r38111232,114.619325 21.5743922222
/data1/phot_cal/spitzer/ngc2420/r38111232,114.6647625 21.6542530556
/data1/phot_cal/spitzer/ngc2420/r38111232,114.67145 21.4744338889
/data1/phot_cal/spitzer/ngc2420/r38111232,114.708729167 21.4732169444
/data1/phot_cal/spitzer/ngc2420/r38111232,114.712020833 21.6176813889
/data1/phot_cal/spitzer/ngc2420/r42490880,114.504783333 21.6014061111
/data1/phot_cal/spitzer/ngc2420/r42490880,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r42490880,114.5132 21.4989166667
/data1/phot_cal/spitzer/ngc2420/r42490880,114.533729167 21.6188563889
/data1/phot_cal/spitzer/ngc2420/r42490880,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r42490880,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r42490880,114.5714 21.6510925
/data1/phot_cal/spitzer/ngc2420/r42490880,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r42490880,114.602116667 21.5800188889
/data1/phot_cal/spitzer/ngc2420/r42490880,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r42490880,114.619325 21.5743922222
/data1/phot_cal/spitzer/ngc2420/r42490880,114.6647625 21.6542530556
/data1/phot_cal/spitzer/ngc2420/r42490880,114.67145 21.4744338889
/data1/phot_cal/spitzer/ngc2420/r42490880,114.708729167 21.4732169444
/data1/phot_cal/spitzer/ngc2420/r42490880,114.712020833 21.6176813889
/data1/phot_cal/spitzer/ngc2420/r47021056,114.504783333 21.6014061111
/data1/phot_cal/spitzer/ngc2420/r47021056,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r47021056,114.5132 21.4989166667
/data1/phot_cal/spitzer/ngc2420/r47021056,114.533729167 21.6188563889
/data1/phot_cal/spitzer/ngc2420/r47021056,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r47021056,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r47021056,114.5714 21.6510925
/data1/phot_cal/spitzer/ngc2420/r47021056,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r47021056,114.602116667 21.5800188889
/data1/phot_cal/spitzer/ngc2420/r47021056,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r47021056,114.619325 21.5743922222
/data1/phot_cal/spitzer/ngc2420/r47021056,114.6647625 21.6542530556
/data1/phot_cal/spitzer/ngc2420/r47021056,114.67145 21.4744338889
/data1/phot_cal/spitzer/ngc2420/r47021056,114.708729167 21.4732169444
/data1/phot_cal/spitzer/ngc2420/r47021056,114.712020833 21.6176813889
/data1/phot_cal/spitzer/ngc2420/r47021312,114.504783333 21.6014061111
/data1/phot_cal/spitzer/ngc2420/r47021312,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r47021312,114.5132 21.4989166667
/data1/phot_cal/spitzer/ngc2420/r47021312,114.533729167 21.6188563889
/data1/phot_cal/spitzer/ngc2420/r47021312,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r47021312,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r47021312,114.5714 21.6510925
/data1/phot_cal/spitzer/ngc2420/r47021312,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r47021312,114.602116667 21.5800188889
/data1/phot_cal/spitzer/ngc2420/r47021312,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r47021312,114.619325 21.5743922222
/data1/phot_cal/spitzer/ngc2420/r47021312,114.6647625 21.6542530556
/data1/phot_cal/spitzer/ngc2420/r47021312,114.67145 21.4744338889
/data1/phot_cal/spitzer/ngc2420/r47021312,114.708729167 21.4732169444
/data1/phot_cal/spitzer/ngc2420/r47021312,114.712020833 21.6176813889
/data1/phot_cal/spitzer/ngc2420/r47021824,114.504783333 21.6014061111
/data1/phot_cal/spitzer/ngc2420/r47021824,114.511483333 21.5158444444
/data1/phot_cal/spitzer/ngc2420/r47021824,114.5132 21.4989166667
/data1/phot_cal/spitzer/ngc2420/r47021824,114.533729167 21.6188563889
/data1/phot_cal/spitzer/ngc2420/r47021824,114.567116667 21.54187
/data1/phot_cal/spitzer/ngc2420/r47021824,114.571095833 21.6060658333
/data1/phot_cal/spitzer/ngc2420/r47021824,114.5714 21.6510925
/data1/phot_cal/spitzer/ngc2420/r47021824,114.593583333 21.6154080556
/data1/phot_cal/spitzer/ngc2420/r47021824,114.602116667 21.5800188889
/data1/phot_cal/spitzer/ngc2420/r47021824,114.618616667 21.5580577778
/data1/phot_cal/spitzer/ngc2420/r47021824,114.619325 21.5743922222
/data1/phot_cal/spitzer/ngc2420/r47021824,114.6647625 21.6542530556
/data1/phot_cal/spitzer/ngc2420/r47021824,114.67145 21.4744338889
/data1/phot_cal/spitzer/ngc2420/r47021824,114.708729167 21.4732169444
/data1/phot_cal/spitzer/ngc2420/r47021824,114.712020833 21.6176813889
