Name,Sp Type,Coordinates,Ra (deg),Dec (deg)
G-25-g-r=0.42,G1 V,08h00m13.5073s -10d48m28.9659s,120.05628041666664,-10.808046083333334
G-31-g-r=0.42,G2 IV,08h00m14.2126s -10d47m29.4676s,120.05921916666665,-10.791518777777778
G-33-g-r=0.44,G3 V,08h00m12.0017s -10d47m05.3198s,120.05000708333333,-10.784811055555556
G-21-g-r=0.41,G2 IV-V,08h00m09.1226s -10d47m04.2383s,120.03801083333332,-10.78451063888889
G-22-g-r=0.42,G2 V,08h00m03.0715s -10d48m13.6209s,120.01279791666664,-10.803783583333335
G-34-g-r=0.44,G2 V,08h00m08.1455s -10d46m23.5241s,120.03393958333331,-10.77320113888889
G-52-g-r=0.44,G3 V,08h00m05.6251s -10d45m58.1865s,120.02343791666667,-10.766162916666667
G-60-g-r=0.42,G1 V,07h59m55.3242s -10d49m04.1757s,119.98051749999999,-10.817826583333334
G-26-g-r=0.45,G2 V,08h00m04.4594s -10d47m12.6369s,120.01858083333332,-10.786843583333333
G-30-g-r=0.43,G1 V,08h00m08.0999s -10d47m07.9700s,120.03374958333332,-10.785547222222222
G-23-g-r=0.44,G2 V,08h00m02.9428s -10d44m51.5837s,120.01226166666666,-10.747662138888888
G-35-g-r=0.43,G3 IV-V,08h00m09.2061s -10d44m31.4184s,120.03835875,-10.742060666666665
G-55-g-r=0.46,G2 V,08h00m09.8749s -10d43m09.5605s,120.04114541666664,-10.71932236111111
G-25-g-r=0.42,G1 V,08h00m13.5073s -10d48m28.9659s,120.05628041666664,-10.808046083333334
